algorithm,data_type,size,avg_time_us
MergeSort,random,100,163.79
MergeSort,random,500,792.08
MergeSort,random,1000,1611.46
MergeSort,random,5000,8157.61
MergeSort,random,10000,16560.94
MergeSort,random,50000,83453.02
MergeSort,random,100000,167982.56
MergeSort,random,500000,860983.02
MergeSort,random,1000000,1731086.72
MergeSort,sorted_25,100,151.50
MergeSort,sorted_25,500,773.99
MergeSort,sorted_25,1000,1575.27
MergeSort,sorted_25,5000,8030.97
MergeSort,sorted_25,10000,16166.78
MergeSort,sorted_25,50000,82653.66
MergeSort,sorted_25,100000,166602.33
MergeSort,sorted_25,500000,844249.42
MergeSort,sorted_25,1000000,1706941.30
MergeSort,sorted_50,100,151.37
MergeSort,sorted_50,500,774.74
MergeSort,sorted_50,1000,1553.87
MergeSort,sorted_50,5000,7949.21
MergeSort,sorted_50,10000,15977.58
MergeSort,sorted_50,50000,81327.31
MergeSort,sorted_50,100000,163528.34
MergeSort,sorted_50,500000,832123.56
MergeSort,sorted_50,1000000,1705699.04
MergeSort,sorted_75,100,151.05
MergeSort,sorted_75,500,795.16
MergeSort,sorted_75,1000,1574.38
MergeSort,sorted_75,5000,7993.23
MergeSort,sorted_75,10000,16225.90
MergeSort,sorted_75,50000,80617.43
MergeSort,sorted_75,100000,161132.66
MergeSort,sorted_75,500000,814688.20
MergeSort,sorted_75,1000000,1641934.70
MergeSort,sorted_95,100,150.59
MergeSort,sorted_95,500,770.41
MergeSort,sorted_95,1000,1545.68
MergeSort,sorted_95,5000,7775.05
MergeSort,sorted_95,10000,15603.17
MergeSort,sorted_95,50000,79116.12
MergeSort,sorted_95,100000,158798.65
MergeSort,sorted_95,500000,801616.74
MergeSort,sorted_95,1000000,1611038.12
MergeSort,sorted_99,100,151.35
MergeSort,sorted_99,500,763.07
MergeSort,sorted_99,1000,1523.95
MergeSort,sorted_99,5000,7747.17
MergeSort,sorted_99,10000,15573.54
MergeSort,sorted_99,50000,78976.41
MergeSort,sorted_99,100000,159071.25
MergeSort,sorted_99,500000,799250.32
MergeSort,sorted_99,1000000,1616818.10
MergeSort,sorted_997,100,150.37
MergeSort,sorted_997,500,764.10
MergeSort,sorted_997,1000,1543.35
MergeSort,sorted_997,5000,7759.46
MergeSort,sorted_997,10000,15673.70
MergeSort,sorted_997,50000,78867.20
MergeSort,sorted_997,100000,158112.73
MergeSort,sorted_997,500000,799447.52
MergeSort,sorted_997,1000000,1606851.66
MergeSort,reverse,100,155.30
MergeSort,reverse,500,766.12
MergeSort,reverse,1000,1537.40
MergeSort,reverse,5000,7720.07
MergeSort,reverse,10000,15522.19
MergeSort,reverse,50000,78438.30
MergeSort,reverse,100000,158485.01
MergeSort,reverse,500000,801967.52
MergeSort,reverse,1000000,1614275.60
QuickSort,random,100,5.78
QuickSort,random,500,40.55
QuickSort,random,1000,79.69
QuickSort,random,5000,477.68
QuickSort,random,10000,1025.38
QuickSort,random,50000,5909.49
QuickSort,random,100000,12585.28
QuickSort,random,500000,70307.40
QuickSort,random,1000000,147553.80
QuickSort,sorted_25,100,5.63
QuickSort,sorted_25,500,35.73
QuickSort,sorted_25,1000,78.38
QuickSort,sorted_25,5000,471.75
QuickSort,sorted_25,10000,1008.27
QuickSort,sorted_25,50000,5794.49
QuickSort,sorted_25,100000,12274.36
QuickSort,sorted_25,500000,69207.52
QuickSort,sorted_25,1000000,145513.06
QuickSort,sorted_50,100,6.34
QuickSort,sorted_50,500,36.41
QuickSort,sorted_50,1000,76.47
QuickSort,sorted_50,5000,444.81
QuickSort,sorted_50,10000,951.75
QuickSort,sorted_50,50000,5472.24
QuickSort,sorted_50,100000,11542.13
QuickSort,sorted_50,500000,65631.98
QuickSort,sorted_50,1000000,136336.44
QuickSort,sorted_75,100,5.01
QuickSort,sorted_75,500,32.39
QuickSort,sorted_75,1000,65.98
QuickSort,sorted_75,5000,392.45
QuickSort,sorted_75,10000,833.92
QuickSort,sorted_75,50000,4788.78
QuickSort,sorted_75,100000,10104.52
QuickSort,sorted_75,500000,56658.18
QuickSort,sorted_75,1000000,120474.54
QuickSort,sorted_95,100,5.32
QuickSort,sorted_95,500,27.71
QuickSort,sorted_95,1000,57.25
QuickSort,sorted_95,5000,322.40
QuickSort,sorted_95,10000,679.14
QuickSort,sorted_95,50000,3864.63
QuickSort,sorted_95,100000,8093.95
QuickSort,sorted_95,500000,45322.04
QuickSort,sorted_95,1000000,94051.38
QuickSort,sorted_99,100,3.43
QuickSort,sorted_99,500,23.06
QuickSort,sorted_99,1000,51.60
QuickSort,sorted_99,5000,307.79
QuickSort,sorted_99,10000,644.98
QuickSort,sorted_99,50000,3545.30
QuickSort,sorted_99,100000,7376.77
QuickSort,sorted_99,500000,41033.36
QuickSort,sorted_99,1000000,86281.92
QuickSort,sorted_997,100,3.33
QuickSort,sorted_997,500,21.52
QuickSort,sorted_997,1000,46.58
QuickSort,sorted_997,5000,292.87
QuickSort,sorted_997,10000,630.83
QuickSort,sorted_997,50000,3528.39
QuickSort,sorted_997,100000,7276.03
QuickSort,sorted_997,500000,40033.86
QuickSort,sorted_997,1000000,82937.06
QuickSort,reverse,100,5.20
QuickSort,reverse,500,27.95
QuickSort,reverse,1000,59.18
QuickSort,reverse,5000,306.49
QuickSort,reverse,10000,651.38
QuickSort,reverse,50000,3633.17
QuickSort,reverse,100000,7685.38
QuickSort,reverse,500000,43850.42
QuickSort,reverse,1000000,91335.28
IntroSort,random,100,12.28
IntroSort,random,500,36.48
IntroSort,random,1000,76.24
IntroSort,random,5000,462.64
IntroSort,random,10000,992.68
IntroSort,random,50000,5740.30
IntroSort,random,100000,12168.07
IntroSort,random,500000,68474.58
IntroSort,random,1000000,143675.96
IntroSort,sorted_25,100,5.30
IntroSort,sorted_25,500,36.62
IntroSort,sorted_25,1000,77.74
IntroSort,sorted_25,5000,450.28
IntroSort,sorted_25,10000,968.97
IntroSort,sorted_25,50000,5616.81
IntroSort,sorted_25,100000,11945.30
IntroSort,sorted_25,500000,67045.52
IntroSort,sorted_25,1000000,140256.00
IntroSort,sorted_50,100,5.03
IntroSort,sorted_50,500,32.49
IntroSort,sorted_50,1000,71.68
IntroSort,sorted_50,5000,429.70
IntroSort,sorted_50,10000,911.74
IntroSort,sorted_50,50000,5285.28
IntroSort,sorted_50,100000,11155.30
IntroSort,sorted_50,500000,63186.66
IntroSort,sorted_50,1000000,131970.02
IntroSort,sorted_75,100,5.26
IntroSort,sorted_75,500,27.86
IntroSort,sorted_75,1000,62.21
IntroSort,sorted_75,5000,368.89
IntroSort,sorted_75,10000,789.61
IntroSort,sorted_75,50000,4558.21
IntroSort,sorted_75,100000,9667.52
IntroSort,sorted_75,500000,55331.84
IntroSort,sorted_75,1000000,114924.00
IntroSort,sorted_95,100,3.39
IntroSort,sorted_95,500,24.85
IntroSort,sorted_95,1000,52.29
IntroSort,sorted_95,5000,282.30
IntroSort,sorted_95,10000,600.02
IntroSort,sorted_95,50000,3516.18
IntroSort,sorted_95,100000,7588.79
IntroSort,sorted_95,500000,42802.94
IntroSort,sorted_95,1000000,88715.16
IntroSort,sorted_99,100,2.78
IntroSort,sorted_99,500,20.35
IntroSort,sorted_99,1000,47.74
IntroSort,sorted_99,5000,281.64
IntroSort,sorted_99,10000,569.98
IntroSort,sorted_99,50000,3102.06
IntroSort,sorted_99,100000,6542.52
IntroSort,sorted_99,500000,37110.74
IntroSort,sorted_99,1000000,79440.66
IntroSort,sorted_997,100,3.04
IntroSort,sorted_997,500,17.08
IntroSort,sorted_997,1000,38.34
IntroSort,sorted_997,5000,282.74
IntroSort,sorted_997,10000,605.02
IntroSort,sorted_997,50000,3145.61
IntroSort,sorted_997,100000,6541.44
IntroSort,sorted_997,500000,35633.24
IntroSort,sorted_997,1000000,75173.30
IntroSort,reverse,100,2.94
IntroSort,reverse,500,18.08
IntroSort,reverse,1000,40.33
IntroSort,reverse,5000,282.28
IntroSort,reverse,10000,571.22
IntroSort,reverse,50000,3331.29
IntroSort,reverse,100000,7070.88
IntroSort,reverse,500000,39038.22
IntroSort,reverse,1000000,82184.46
